ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies,Variety,Form,Author string,Author,Year
1131,Plantae,,,,,,,,,,Haeckel,,
1132,Plantae,Anthocerotophyta,,,,,,,,,,,
1158,Plantae,Bryophyta,,,,,,,,,,,
1191,Plantae,Chlorophyta,,,,,,,,,Rchb.,,
1253,Plantae,Cyanidiophyta,,,,,,,,,,,
1256,Plantae,Cycadophyta,,,,,,,,,,,
1259,Plantae,Ginkgophyta,,,,,,,,,,,
1262,Plantae,Glaucophyta,,,,,,,,,Skuja,,
1265,Plantae,Gnetophyta,,,,,,,,,,,
1269,Plantae,Marchantiophyta,,,,,,,,,,,
1281,Plantae,Magnoliophyta,,,,,,,,,,,
1372,Plantae,Pinophyta,,,,,,,,,,,
1375,Plantae,Prasinophyta,,,,,,,,,,,
1378,Plantae,Psilophyta,,,,,,,,,,,
1381,Plantae,Pteridophyta,,,,,,,,,,,
1395,Plantae,Rhodophyta,,,,,,,,,,,
138364,Plantae,Equisetophyta,,,,,,,,,,,
138365,Plantae,Lycopodiophyta,,,,,,,,,,,
147208,Plantae,Charophyta,,,,,,,,,,,
147210,Plantae,Streptophyta,,,,,,,,,"D.M.John, D.B.Will. & Guiry",,
1211,Plantae,Streptophyta,Klebsormidiophyceae,,,,,,,,"C.Hoek, D.G.Mann & Jahns",,
1215,Plantae,Streptophyta,Mesostigmatophyceae,,,,,,,,B.Marin & Melkonian,,
1250,Plantae,Streptophyta,Zygnematophyceae,,,,,,,,"C.Hoek, D.G.Mann & Jahns",,
147215,Plantae,Streptophyta,Coleochaetophyceae,,,,,,,,,,
1212,Plantae,Streptophyta,Coleochaetophyceae,Coleochaetales,,,,,,,Chadefaud,,
105994,Plantae,Streptophyta,Coleochaetophyceae,Coleochaetales,Coleochaetaceae,,,,,,Nägeli,,
105995,Plantae,Streptophyta,Coleochaetophyceae,Coleochaetales,Coleochaetaceae,Coleochaete,,,,,Bréb.,,
106415,Plantae,Streptophyta,Coleochaetophyceae,Coleochaetales,Coleochaetaceae,Phyllactidium,,,,,,,
147690,Plantae,Streptophyta,Coleochaetophyceae,Coleochaetales,Coleochaetaceae,Conochaete,,,,,Kleb.,,
150626,Plantae,Streptophyta,Coleochaetophyceae,Coleochaetales,Coleochaetaceae,Conochaete,klebahnii,,,,Schmidle,,
106416,Plantae,Streptophyta,Coleochaetophyceae,Coleochaetales,Coleochaetaceae,Phyllactidium,puchellum,,,,,,
105996,Plantae,Streptophyta,Coleochaetophyceae,Coleochaetales,Coleochaetaceae,Coleochaete,irregularis,,,,Pringsheim,,1860
105997,Plantae,Streptophyta,Coleochaetophyceae,Coleochaetales,Coleochaetaceae,Coleochaete,orbicularis,,,,Pringsheim,,1860
105998,Plantae,Streptophyta,Coleochaetophyceae,Coleochaetales,Coleochaetaceae,Coleochaete,pulvinata,,,,A. Braun,,1849
105999,Plantae,Streptophyta,Coleochaetophyceae,Coleochaetales,Coleochaetaceae,Coleochaete,scutata,,,,Brébisson,,1844
